Event Name,Properties,Short Description of TRIGGER
web_homepage_cta_start_click,treatment_type,RCA: Main conversion funnel entry point. Pre-events: Page load
web_homepage_cta_consultation_click,consultation_type,RCA: Consultation booking intent. Pre-events: Page load
web_homepage_button_learn_more_click,section_name,RCA: Content engagement and information seeking. Pre-events: Page load
web_homepage_button_view_products_click,category_id,RCA: Product browsing intent. Pre-events: Page load
web_homepage_button_category_skin_click,category_id,RCA: Category-specific interest tracking. Pre-events: Page load
web_homepage_button_category_hair_click,category_id,RCA: Category-specific interest tracking. Pre-events: Page load
web_homepage_button_newsletter_subscribe_click,"email, preferences",RCA: Lead generation and marketing opt-in. Pre-events: Page load
web_homepage_card_acne_cream_click,"product_id, product_name",RCA: Product-specific interest and conversion tracking. Pre-events: Page load
web_homepage_card_hair_growth_click,"product_id, product_name",RCA: Product-specific interest and conversion tracking. Pre-events: Page load
web_homepage_card_vitamin_c_click,"product_id, product_name",RCA: Product-specific interest and conversion tracking. Pre-events: Page load
web_homepage_link_privacy_click,link_destination,RCA: Privacy compliance and trust behavior. Pre-events: Page load
web_homepage_link_terms_click,link_destination,RCA: Legal content access. Pre-events: Page load
web_homepage_tab_featured_click,"tab_name, tab_index",RCA: Content organization preference. Pre-events: Page load
popup_age_verify_show_homepage,,RCA: Age verification compliance requirement. Pre-events: Page load
popup_age_verify_close_homepage,,RCA: Age verification bypass attempts. Pre-events: Age verification display
popup_age_verify_continue_homepage,age_verified,RCA: Legal compliance completion. Pre-events: Age verification display
popup_cookie_consent_show_homepage,,RCA: GDPR compliance and privacy consent. Pre-events: Page load
popup_cookie_consent_accept_click_homepage,cookie_preferences,RCA: Privacy consent completion. Pre-events: Cookie consent display
popup_newsletter_show_homepage,,RCA: Email list growth opportunity. Pre-events: Scroll engagement
